상품종류,단축코드,표준코드,한글종목명,ATM구분,행사가,월물구분코드,기초자산 단축코드,기초자산 명,시장분류코드,만기,delta,gamma,theta,vega,rho,otst,date,gamma_exposure
6,301V11495,KR4301VB4955,P 202411 495.0,2,495.0, ,2001,KOSPI200,P,202411,-1.0,0.0,0.0457,0.0,-0.1761,0,20241103,0.0
6,301V11497,KR4301VB4971,P 202411 497.5,2,497.5, ,2001,KOSPI200,P,202411,-1.0,0.0,0.0459,0.0,-0.177,0,20241103,0.0
6,301V11500,KR4301VB5002,P 202411 500.0,2,500.0, ,2001,KOSPI200,P,202411,-1.0,0.0,0.0461,0.0,-0.1779,0,20241103,0.0
6,301V11502,KR4301VB5028,P 202411 502.5,2,502.5, ,2001,KOSPI200,P,202411,-1.0,0.0,0.0464,0.0,-0.1788,0,20241103,0.0
6,301V11505,KR4301VB5051,P 202411 505.0,2,505.0, ,2001,KOSPI200,P,202411,-1.0,0.0,0.0466,0.0,-0.1796,0,20241103,0.0
6,301V11507,KR4301VB5077,P 202411 507.5,2,507.5, ,2001,KOSPI200,P,202411,-1.0,0.0,0.0468,0.0,-0.1805,0,20241103,0.0
6,301V11510,KR4301VB5101,P 202411 510.0,2,510.0, ,2001,KOSPI200,P,202411,-1.0,0.0,0.0471,0.0,-0.1814,0,20241103,0.0
6,301V11512,KR4301VB5127,P 202411 512.5,2,512.5, ,2001,KOSPI200,P,202411,-1.0,0.0,0.0473,0.0,-0.1823,0,20241103,0.0
6,301V11515,KR4301VB5150,P 202411 515.0,2,515.0, ,2001,KOSPI200,P,202411,-1.0,0.0,0.0475,0.0,-0.1832,0,20241103,0.0
6,301V11517,KR4301VB5176,P 202411 517.5,2,517.5, ,2001,KOSPI200,P,202411,-1.0,0.0,0.0478,0.0,-0.1841,0,20241103,0.0
6,301V11520,KR4301VB5200,P 202411 520.0,2,520.0, ,2001,KOSPI200,P,202411,-1.0,0.0,0.048,0.0,-0.185,69,20241103,0.0
6,301V12160,KR4301VC1604,P 202412 160.0,3,160.0, ,2001,KOSPI200,P,202412,0.0,0.0,-0.0,0.0,0.0,3936,20241103,0.0
6,301V12162,KR4301VC1620,P 202412 162.5,3,162.5, ,2001,KOSPI200,P,202412,0.0,0.0,-0.0,0.0,-0.0,30,20241103,0.0
6,301V12165,KR4301VC1653,P 202412 165.0,3,165.0, ,2001,KOSPI200,P,202412,0.0,0.0,-0.0,0.0,0.0,292,20241103,0.0
6,301V12167,KR4301VC1679,P 202412 167.5,3,167.5, ,2001,KOSPI200,P,202412,0.0,0.0,-0.0,0.0,-0.0,37,20241103,0.0
6,301V12170,KR4301VC1703,P 202412 170.0,3,170.0, ,2001,KOSPI200,P,202412,-0.0,0.0,-0.0,0.0,-0.0,2920,20241103,0.0
6,301V12172,KR4301VC1729,P 202412 172.5,3,172.5, ,2001,KOSPI200,P,202412,-0.0,0.0,-0.0,0.0,-0.0,39,20241103,0.0
6,301V12175,KR4301VC1752,P 202412 175.0,3,175.0, ,2001,KOSPI200,P,202412,-0.0,0.0,-0.0,0.0,-0.0,467,20241103,0.0
6,301V12177,KR4301VC1778,P 202412 177.5,3,177.5, ,2001,KOSPI200,P,202412,-0.0,0.0,-0.0,0.0,-0.0,203,20241103,0.0
6,301V12180,KR4301VC1802,P 202412 180.0,3,180.0, ,2001,KOSPI200,P,202412,-0.0,0.0,-0.0,0.0,-0.0,3575,20241103,0.0
6,301V12182,KR4301VC1828,P 202412 182.5,3,182.5, ,2001,KOSPI200,P,202412,-0.0,0.0,-0.0,0.0,-0.0,65,20241103,0.0
6,301V12185,KR4301VC1851,P 202412 185.0,3,185.0, ,2001,KOSPI200,P,202412,-0.0,0.0,-0.0,0.0,-0.0,208,20241103,0.0
6,301V12187,KR4301VC1877,P 202412 187.5,3,187.5, ,2001,KOSPI200,P,202412,-0.0,0.0,-0.0,0.0,-0.0,227,20241103,0.0
6,301V12190,KR4301VC1901,P 202412 190.0,3,190.0, ,2001,KOSPI200,P,202412,-0.0,0.0,-0.0,0.0,-0.0,548,20241103,0.0
6,301V12192,KR4301VC1927,P 202412 192.5,3,192.5, ,2001,KOSPI200,P,202412,-0.0,0.0,-0.0,0.0,-0.0,326,20241103,0.0
6,301V12195,KR4301VC1950,P 202412 195.0,3,195.0, ,2001,KOSPI200,P,202412,-0.0,0.0,-0.0,0.0,-0.0,617,20241103,0.0
6,301V12197,KR4301VC1976,P 202412 197.5,3,197.5, ,2001,KOSPI200,P,202412,-0.0,0.0,-0.0,0.0,-0.0,128,20241103,0.0
6,301V12200,KR4301VC2008,P 202412 200.0,3,200.0, ,2001,KOSPI200,P,202412,-0.0,0.0,-0.0,0.0,-0.0,3853,20241103,0.0
6,301V12202,KR4301VC2024,P 202412 202.5,3,202.5, ,2001,KOSPI200,P,202412,-0.0,0.0,-0.0,0.0,-0.0,33,20241103,0.0
