date,selected_etf_count,selected_total_trading_value,kospi_trading_value,ratio
20100913,28,105047902675.0,6867751021955.0,0.01529582280126059
20100914,28,105315899525.0,6878189429411.0,0.015311572995455944
20100915,28,74958636955.0,6657851241264.0,0.011258683055340994
20100916,28,59085533715.0,5965157339056.0,0.009905109011651052
20100917,27,77762316310.0,6832277218485.0,0.011381610233790125
20100920,27,63772647450.0,4218240739911.0,0.015118304379030185
20100924,27,68818118375.0,5673685539730.0,0.012129350118736917
20100927,27,79775170322.0,7005345922569.0,0.01138775603714154
20100928,27,59199459831.0,6445291752636.0,0.009184915455035617
20100929,27,90065890205.0,7338217644474.0,0.012273537603892624
20100930,27,61570127330.0,6297979750597.0,0.009776171052973555
20101001,27,80792071385.0,6920429590116.0,0.011674430081680199
20101004,27,81846151646.0,7256261175233.0,0.011279383372439306
20101005,27,86301804109.0,6442689860535.0,0.01339530630484726
20101006,27,77049833875.0,7703165571560.0,0.010002359829764936
20101007,27,68627531280.0,7624706337072.0,0.009000678615821156
20101008,27,80835608580.0,7124178610341.0,0.011346656646517007
20101011,27,124059405725.0,6186663071560.0,0.020052717319502863
20101012,27,161241261085.0,5929049864563.0,0.027195126498887064
20101013,27,98596596755.0,6036498854101.0,0.016333407681841387
20101014,27,140613411230.0,7577575886184.0,0.018556516403402418
20101015,27,72941086740.0,6382288237542.0,0.01142867323210894
20101018,27,133341522320.0,5673424760797.0,0.02350282729426172
20101019,27,173828146430.0,5789406054386.0,0.03002521239606426
20101020,27,158800372290.0,5941454525526.0,0.026727524650361826
20101021,27,115185817935.0,7202136735360.0,0.015993283961060818
20101022,27,78246728470.0,5958618182018.0,0.013131690281168553
20101025,27,79485214980.0,6625330899557.0,0.011997169075029105
20101026,27,75232359130.0,6579873297805.0,0.011433709393020835
20101027,27,105024134344.0,6836414642967.0,0.015362458222460828
20101028,27,77713850310.0,5599971026477.0,0.013877545069887726
20101029,27,125869569495.0,6067064205266.0,0.020746371760125698
20101101,27,131476105010.0,6074095051582.0,0.021645381557826793
20101102,27,121001634559.0,6498417960834.0,0.018620168060638376
20101103,27,138612639201.0,6831167879081.0,0.020291206665476888
20101104,27,78693454850.0,6432445647227.0,0.012233831293067267
20101105,27,104450953255.0,7966854623862.0,0.013110688996652799
20101108,27,72253260780.0,5493255631334.0,0.013153085461353959
20101109,27,57783884220.0,6179717587229.0,0.00935057037872024
20101110,27,72345017495.0,6620584448297.0,0.010927285658837743
20101111,27,173457970715.0,9622796237938.0,0.018025734560515757
20101112,27,267569229705.0,9459309041697.0,0.02828633978713926
20101115,27,157261757655.0,6156938832782.0,0.025542199122992035
20101116,27,191593131780.0,7041555839717.0,0.02720892032118006
20101117,27,145517837800.0,5852087681823.0,0.02486597018222894
20101118,27,265283652730.0,5730262792039.0,0.04629519838052734
20101119,27,76998256730.0,6090463729813.0,0.012642429237874163
20101122,27,91292040400.0,7475440992912.0,0.012212261522304906
20101123,27,101341264010.0,7441081992382.0,0.013619157014228675
20101124,27,180813457980.0,8125499160897.0,0.022252596966613854
20101125,27,168403763432.0,5732687427793.0,0.029376058882183458
20101126,27,125067472359.0,5826764318203.0,0.021464309439852437
20101129,27,140740491630.0,4611453779650.0,0.030519766293891363
